256,26999137500,26127507500,26746266100,26291628300,25815498200,26236276400,25979913500,25983996200,26213893300,26834437700,27379009400,26133344900,26096373400,26766558200,30948957500,32492860400,29338490400,26322507700,25917328400,26990548200,26488461500,25683275700,26430236400,25948023300,25883217900,26353371900,25951895600,26963672200,25938718600,25961570800,26543888700,25939526200,26265240800,25979946000,25779898400,26451046400,26020082900,26371334600,26142643800,25974382000,26526966000,25801573600,26318564700,25959699500,25931276700,26643728400,25794013000,26575570600,25974030700,25922678500
512,13876095200,13530451300,13493988100,13442632300,13416019400,13859022400,13522486900,13381380400,13379692900,13448261400,13835373600,13407180700,13411210900,13529542600,13443442500,13824083100,13410103900,13410853500,13432287000,13535273000,13852456900,13503035800,13514228700,13572614800,13660671900,13503014100,13435856400,13459839600,13417322900,13745471300,13581189200,13545466200,14169593200,13452554800,13834889200,13471822800,13471792000,14113497600,13745249200,14001811800,13522130900,14050302700,13673250800,13576653000,13886097500,13522967800,13428968800,13457430400,13741990700,13469893800
1024,7136159600,7419753400,7092701400,7136035200,7142831000,7113342600,7276302000,7213888600,7322496100,7150281000,7082986800,7129530800,7502011000,7130143200,7114626200,7284688800,7414253000,7118954500,7132322800,7059536000,7098202200,7128138000,7104200200,7139755900,7286983100,7268737700,7387087600,7101062800,7117061200,7172627900,7061025800,7133227300,7114623100,7312180000,7334169900,7113028700,7121870200,7127375600,7140125100,7117073600,7138875700,7128883900,7221648800,7302523800,7147986200,7150735100,7131650000,7066709300,7137384600,7108528700
2048,3848838200,3901193800,3868681900,3934227000,3996343000,3840303300,3828679600,3866262100,3853101500,3958162700,3934425500,3859783500,3875687200,3849659000,3831320700,3870370800,3852882900,3867298700,3875216600,3841255800,3985217400,3920083000,3832758600,3835221300,3890000000,3838266800,3842226200,3841278000,3856813500,3897959700,3862890100,3884263500,3904772100,3859450800,3980803100,3885166700,3841596600,4069819200,3894264600,3888931700,3847629900,4027557300,3905053700,3920491500,3826333300,3865455500,3847137100,3838809900,3866043900,3851766600
4096,2172188400,2187742300,2207510800,2160793700,2180694600,2173273000,2250904400,2295974600,2254579300,2177508600,2168349000,2190629200,2159476400,2208124000,2176152600,2215478200,2201621900,2171616800,2202149900,2156624600,2203894800,2182887500,2191682000,2153229900,2195903200,2192643900,2160684000,2181229500,2192540800,2155613000,2166247000,2201262700,2182691900,2178319400,2194449900,2217868600,2359724200,2212667200,2192718400,2151070900,2204506800,2175455000,2187417200,2168362700,2165641000,2210980800,2145763500,2222441200,2180877500,2208870500
8192,1602936200,1623353000,1620865500,1666540100,1624772500,1657054800,1634303600,1628994100,1642857700,1665905000,1650378200,1676206300,1643890100,1615615800,1678628600,1616179200,1650107800,1635774200,1629857800,1621200400,1717730000,1705558800,1642163600,1661931700,1617596600,1598507700,1670355000,1631114000,1599306800,1681945900,1641200100,1615393600,1658387600,1639047800,1623175200,1681487100,1615811700,1638852900,1670117600,1622433900,1637807900,1632438200,1677854900,1641634500,1647247900,1621725000,1652263900,1637217200,1628498100,1654882100
16384,1050411500,1066098900,1090833500,1060421000,1078649400,1079584100,1014267900,1058494500,1108479700,1108174000,1036764300,1078759500,1119704000,1140057100,1151615000,1126563200,1100857400,1062588200,1065078400,1056524800,1058891500,1090333300,1108590400,1057370200,1106357100,1112665600,1074471200,1059169400,1064146700,1064586100,1058429000,1075437900,1085133700,1085767900,1044968800,1087578600,1091321300,1055667100,1065998700,1062082600,1083059100,1046885000,1063506500,1082485200,1111701600,1060649800,1067905000,1099438400,1080070900,1065789700
32768,690388500,709375300,704090300,715559900,731149400,712178600,705668000,701637900,714207700,717433900,733540700,711665000,709435100,714281300,711198300,709633600,732381500,728984600,713581600,708367100,717949400,712780100,728411100,731830800,673971300,705321500,703146100,726220800,721229900,716909400,760684900,725684200,755763400,730803600,727948400,750509200,759807100,706465100,720636700,713843500,713689000,713458100,726911400,733319400,705799400,715117000,699085000,753941300,727822600,728144100
65536,642762900,662577700,660496500,652053400,663450300,688092600,621669700,637369400,650020500,651039500,665645500,663372300,676563000,655427400,652428200,657349800,653922600,659104000,661028600,673634800,655286500,646311400,647957500,636619400,638305100,622675800,658922900,659103100,646580600,657606500,668789600,660969100,645648200,668252000,649826700,658374500,665626300,669103100,670840200,671342700,630230900,630787200,634927600,651765800,614826100,642203700,645539200,665210400,650176800,651584300
time,594009889800,604234894400,597251740400,596437627800,600247264900,595742940400,596736101900,596721674300,603454326000,596284482900,597124542500,595706648500,596522286700,597403608300,596256700700,596597591100,598491806800,597341940800,596601590300,597745601500,596194630500,596849405600,597363366200,596822251100,603909892000,603707871900,603345990100,602455467500,602558553100,595847129100,595532938300,591148031400,588671144100,586922661700,585243016700,584269918700,584033279400,581613046200,586270481700,581587117400,581843417500,585055282400,580817599100,581402912600,581859671900,582714916000,590307655600,597726944800,596713448300,595839158100
